Fecha,Hora,Bosque,Transecto ,Periodo,Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Codigo_Final,Latitude,Longitude
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran120,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran121,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran122,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran123,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran124,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran125,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran126,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran127,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran128,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran129,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran130,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran131,,
4/5/20,10:30:00,5,1,2,Taraxacum sp.,,,si,24,,tran132,,
4/5/20,10:30:00,5,1,2,Potentilla erecta,Sphaerophoria scripta,hembra,si,25,,tran133,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran134,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran135,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran136,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran137,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran138,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran139,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran140,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran141,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran142,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran143,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran144,,
4/5/20,10:30:00,5,1,2,Scilla verna,,,si,26,,tran145,,
4/5/20,10:30:00,5,1,2,Scilla verna,?=23,,no,,,tran146,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran147,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran148,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran149,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran150,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran151,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran152,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran153,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran154,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran155,,
4/5/20,13:30:00,5,2,2,Scilla verna,?=23,,no,,,tran156,,
